Indicator,Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023e,2024e
Share_of_GDP,Albania,1.35,1.16,1.10,1.11,1.16,1.28,1.30,1.24,1.21,1.75,2.03
Share_of_GDP,Belgium,0.97,0.91,0.89,0.88,0.89,0.89,1.01,1.04,1.18,1.21,1.30
Share_of_GDP,Bulgaria,1.31,1.25,1.24,1.22,1.45,3.13,1.59,1.52,1.59,1.96,2.18
Share_of_GDP,Canada,1.01,1.20,1.16,1.44,1.30,1.29,1.41,1.27,1.20,1.31,1.37
Share_of_GDP,Croatia,1.81,1.75,1.59,1.63,1.54,1.59,1.69,1.95,1.78,1.74,1.81
Share_of_GDP,Czechia,0.94,1.02,0.95,1.03,1.10,1.18,1.30,1.39,1.34,1.37,2.10
Share_of_GDP,Denmark,1.15,1.11,1.15,1.14,1.28,1.30,1.38,1.30,1.37,2.01,2.37
Share_of_GDP,Estonia,1.93,2.03,2.07,2.01,2.01,2.04,2.30,2.03,2.16,3.04,3.43
Share_of_GDP,Finland,1.45,1.45,1.42,1.38,1.39,1.45,1.53,1.40,1.68,2.09,2.41
Share_of_GDP,France,1.82,1.78,1.79,1.78,1.81,1.81,2.00,1.91,1.88,1.96,2.06
Share_of_GDP,Germany,1.19,1.19,1.20,1.23,1.25,1.35,1.51,1.45,1.51,1.64,2.12
Share_of_GDP,Greece,2.22,2.31,2.40,2.38,2.54,2.45,2.91,3.70,3.88,2.80,3.08
Share_of_GDP,Hungary,0.86,0.90,1.00,1.19,1.01,1.34,1.76,1.32,1.84,2.05,2.11
Share_of_GDP,Italy,1.14,1.07,1.18,1.20,1.23,1.17,1.59,1.54,1.52,1.50,1.49
Share_of_GDP,Latvia,0.94,1.03,1.44,1.59,2.06,2.02,2.16,2.09,2.12,2.87,3.15
Share_of_GDP,Lithuania,0.88,1.14,1.48,1.71,1.97,2.00,2.07,1.96,2.45,2.78,2.85
Share_of_GDP,Luxembourg,0.37,0.41,0.38,0.49,0.50,0.55,0.58,0.47,0.56,1.12,1.29
Share_of_GDP,Montenegro,1.50,1.40,1.42,1.34,1.37,1.33,1.73,1.55,1.38,1.54,2.02
Share_of_GDP,Netherlands,1.15,1.13,1.16,1.15,1.22,1.32,1.41,1.36,1.44,1.66,2.05
Share_of_GDP,North Macedonia,1.09,1.05,0.97,0.89,0.94,1.16,1.24,1.45,1.61,1.81,2.22
Share_of_GDP,Norway,1.54,1.58,1.73,1.71,1.72,1.84,1.97,1.68,1.46,1.81,2.20
Share_of_GDP,Poland,1.88,2.23,2.00,1.89,2.02,1.99,2.23,2.22,2.23,3.26,4.12
Share_of_GDP,Portugal,1.31,1.33,1.27,1.24,1.34,1.37,1.43,1.52,1.40,1.48,1.55
Share_of_GDP,Romania,1.35,1.45,1.43,1.73,1.79,1.84,2.01,1.85,1.74,1.60,2.25
Share_of_GDP,Slovakia,0.98,1.11,1.12,1.10,1.22,1.70,1.92,1.74,1.81,1.84,2.00
Share_of_GDP,Slovenia,0.97,0.93,1.00,0.98,1.01,1.05,1.06,1.23,1.29,1.34,1.29
Share_of_GDP,Spain,0.92,0.93,0.81,0.91,0.93,0.91,1.00,1.03,1.16,1.19,1.28
Share_of_GDP,Sweden,1.06,1.01,0.97,0.97,0.97,1.04,1.09,1.42,1.45,1.66,2.14
Share_of_GDP,Turkey,1.45,1.38,1.45,1.51,1.82,1.85,1.86,1.61,1.36,1.50,2.09
Share_of_GDP,United Kingdom,2.14,2.03,2.09,2.08,2.10,2.08,2.35,2.29,2.29,2.30,2.33
Share_of_GDP,United States of America,3.71,3.51,3.50,3.28,3.26,3.47,3.58,3.53,3.31,3.23,3.38
Share_of_GDP,NATO Europe and Canada,,1.43,1.42,1.44,1.48,1.51,1.54,1.72,1.66,1.66,1.78,2.02
Share_of_GDP,NATO Total,2.58,2.48,2.48,2.39,2.40,2.52,2.69,2.63,2.51,2.53,2.71
